169.533333333333,120.7,151.2,130.333333333333,70.7333333333333,57.8,57.8666666666667,nan,7.4,nan,nan,nan,nan,53.1,53.0666666666667,nan,nan,nan,nan,nan,39.5588095238095,42.606666666666705
156.125,124.8,nan,133.6,67.2,57.6666666666667,60.9333333333333,51.1,8.6,7.73333333333333,7.6,nan,53.8,52.9166666666667,41.5333333333333,nan,nan,nan,nan,nan,nan,41.541452991453
nan,110.7,nan,130.333333333333,nan,83.3333333333333,nan,nan,7.6,nan,nan,nan,53.2,47.2666666666667,43.5333333333333,49.7333333333333,nan,28.3866666666667,8.95866666666667,39.1780982905983,nan,37.9596581196581
169.2,nan,160.733333333333,nan,71.55,nan,nan,45.0666666666667,6.9,6.93333333333333,nan,6.2,51.1,45.7055555555556,nan,52.6,30.2,nan,nan,nan,40.6630952380952,nan
173.733333333333,nan,161.266666666667,nan,nan,nan,nan,nan,8.33333333333333,nan,6.28333333333333,6.53333333333333,nan,54.7666666666667,47.3,53.3333333333333,13.8533333333333,42.9244444444444,10.4386666666667,nan,nan,47.991666666666696
171.0,nan,166.2,126.733333333333,76.8,73.0,nan,39.0,6.73333333333333,8.8,7.2,nan,nan,nan,nan,53.6,31.22,nan,9.23933333333333,nan,40.2356481481482,47.311111111111096
181.8,121.1,nan,124.466666666667,79.4,71.1333333333333,64.2,nan,nan,6.93333333333333,5.93333333333333,6.8,57.6,nan,64.9333333333333,51.4,nan,nan,nan,40.5271328671329,38.1009259259259,36.1727272727273
180.0,114.8,166.15,nan,78.6,65.6666666666667,nan,nan,nan,8.13333333333333,6.83333333333333,6.93333333333333,nan,57.0666666666667,67.9,49.3333333333333,36.17,nan,10.684,41.237393162393204,nan,31.3060185185185
nan,nan,156.25,120.866666666667,nan,75.8,76.8333333333333,40.4666666666667,6.4,nan,nan,nan,nan,61.1166666666667,58.9833333333333,46.5333333333333,nan,nan,nan,44.048091168091204,42.062962962963,45.95739316239321
nan,141.4,174.666666666667,122.266666666667,81.7333333333333,nan,nan,41.4,6.93333333333333,8.33333333333333,7.66666666666667,6.06666666666667,58.2666666666667,nan,49.4,nan,40.9,42.88,nan,nan,48.28148148148151,44.6068253968254
175.266666666667,136.3,nan,nan,nan,72.6666666666667,88.4,nan,7.33333333333333,7.77777777777778,6.5,5.86666666666667,45.9333333333333,nan,nan,nan,nan,nan,nan,44.8115811965812,42.0982142857143,nan
nan,128.8,nan,120.8,nan,nan,73.0166666666667,40.4666666666667,7.2,nan,nan,nan,53.6,46.3333333333333,nan,nan,33.25,nan,nan,47.403746253746206,nan,47.4348484848485
nan,nan,172.15,nan,69.0,nan,69.525,41.6,nan,nan,8.675,nan,nan,nan,nan,nan,33.34,58.85,9.84633333333333,nan,nan,40.2454545454545
181.483333333333,128.9,178.266666666667,120.4,nan,69.6666666666667,75.2833333333333,nan,6.33333333333333,7.26666666666667,nan,nan,nan,67.9333333333333,nan,49.2,nan,31.28,9.121,41.7821733821734,36.321296296296296,nan
186.133333333333,145.1,175.2,117.466666666667,nan,nan,83.75,44.2,nan,8.08333333333333,nan,nan,54.7333333333333,59.0833333333333,53.9,45.5333333333333,42.12,nan,10.3453333333333,nan,36.4861111111111,33.3083333333333
nan,nan,169.683333333333,117.333333333333,77.8666666666667,65.6666666666667,86.1333333333333,45.4,nan,10.8,5.46666666666667,4.8,48.7333333333333,nan,52.8666666666667,45.4666666666667,29.8888888888889,nan,nan,41.626118326118295,nan,38.478321678321706
nan,120.5,nan,nan,72.4,nan,75.9666666666666,nan,6.5333333333333306,5.66666666666667,4.63333333333333,nan,49.2666666666667,66.7333333333333,80.4333333333334,46.6666666666667,nan,nan,9.964,46.60846560846561,nan,50.37997557997561
