21.16,3.21,8.18,nan,71.09,nan,5.89,2.27,2.6,77.98,66.28,28.26
13.93,3.16,7.15,12.93,47.63,nan,6.0,2.25,nan,78.85,69.29,nan
18.53,2.92,5.83,8.19,30.31,2.0,6.3,2.18,2.91,77.78,66.99,53.14
22.08,3.22,5.99,7.07,30.13,2.0,5.91,2.29,2.59,77.89,65.95,43.63
13.95,2.57,7.77,8.26,26.49,2.0,6.64,1.98,3.36,77.58,67.18,nan
19.31,2.53,7.54,45.71,86.91,nan,5.8,2.27,2.57,78.67,nan,42.01
21.23,2.53,6.61,14.3,47.91,2.0,5.95,2.27,nan,80.31,69.5,53.52
11.53,2.22,7.51,6.98,nan,2.0,5.7,2.21,2.58,78.38,66.67,44.37
20.97,3.37,7.65,10.76,42.22,2.88,5.86,2.27,2.59,77.67,66.41,54.25
15.23,nan,nan,36.32,70.93,3.0,5.23,nan,2.72,nan,nan,33.82
22.2,2.71,6.79,8.7,29.51,2.0,5.86,2.1,2.8,77.74,66.8,55.07
22.1,4.49,7.49,3.61,13.93,2.0,nan,2.2,2.57,78.06,68.58,nan
25.11,2.62,7.37,27.15,85.53,nan,5.83,2.24,2.61,79.57,67.36,53.33
24.94,4.15,nan,26.51,87.53,3.13,5.8,nan,2.54,nan,66.14,51.7
21.1,2.63,10.09,9.6,33.16,2.0,6.0,2.18,2.76,78.27,67.13,44.25
25.76,3.92,7.79,18.08,47.34,3.0,5.82,2.03,2.87,80.94,68.29,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
23.69,4.4,6.57,nan,27.96,2.0,6.2,1.94,nan,78.9,nan,43.0
12.45,2.06,6.74,nan,20.32,2.0,6.45,1.84,nan,78.54,nan,43.69
11.99,2.27,8.1,5.43,16.77,2.0,nan,1.88,nan,77.15,66.6,40.04
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
13.34,3.24,7.2,4.45,nan,2.0,6.25,1.91,3.29,72.81,66.98,56.12
21.33,2.35,7.14,18.83,44.68,1.0,5.85,2.05,2.86,78.28,67.32,45.85
12.02,3.01,7.9,4.71,16.85,1.88,6.24,1.93,3.24,77.78,65.5,54.58
13.11,3.24,7.6,7.99,25.44,2.0,6.49,1.99,3.27,79.34,66.0,43.21
10.66,2.39,8.4,4.41,13.38,1.5,nan,1.94,2.99,77.58,nan,50.0
19.11,3.31,7.8,20.5,53.83,2.88,nan,2.06,3.1,78.28,66.92,57.77
14.1,4.71,7.28,3.81,nan,1.13,6.85,nan,3.16,77.97,66.08,58.54
20.21,3.18,9.35,20.32,62.49,3.0,5.85,2.26,2.6,nan,68.03,53.02
16.73,3.23,10.05,38.16,62.33,3.0,5.99,2.13,2.83,74.66,63.85,nan
nan,2.33,nan,4.76,17.0,1.88,5.93,1.94,3.07,77.8,65.42,50.54
18.09,3.48,7.06,6.47,27.54,2.0,6.78,2.06,3.3,79.11,67.89,57.94
18.11,2.69,7.36,7.62,23.48,3.0,5.96,2.14,2.79,76.07,67.1,34.39
18.96,2.0,6.56,13.18,39.85,3.0,5.88,2.15,2.75,77.73,68.99,31.17
20.93,3.76,6.48,15.34,53.33,2.75,5.94,2.29,2.6,78.73,68.25,57.39
27.05,2.53,6.19,24.4,nan,3.75,nan,2.28,2.51,79.29,nan,58.93
18.35,2.75,8.23,nan,38.56,3.0,5.8,2.13,2.72,81.02,nan,49.91
21.54,3.16,7.52,17.01,42.27,2.0,6.41,1.97,3.26,78.2,65.04,46.82
12.79,3.54,7.86,9.16,31.2,1.88,6.5,2.06,3.16,77.74,66.3,nan
23.37,2.93,8.73,47.74,92.24,nan,4.99,2.52,nan,75.49,nan,39.2
21.34,2.41,6.25,15.82,52.89,nan,5.8,2.32,2.51,78.11,67.25,nan
22.35,2.72,7.44,33.93,84.7,3.5,6.64,2.13,3.12,80.9,68.43,nan
23.33,nan,6.1,21.29,nan,3.5,5.77,2.23,2.59,80.78,67.65,nan
20.71,2.87,7.58,26.93,73.41,3.88,5.81,2.21,2.64,nan,67.97,32.93
20.62,3.53,7.11,nan,78.79,nan,5.77,2.22,2.61,77.47,65.95,42.01
nan,3.61,8.79,28.96,51.76,3.0,5.74,2.15,2.68,78.6,67.0,23.4
24.0,3.84,6.65,32.62,92.27,nan,nan,2.27,2.53,79.88,64.87,nan
24.76,2.62,8.26,37.48,83.59,4.0,5.89,2.22,2.67,81.09,66.47,47.37
15.85,3.19,7.74,nan,32.72,2.0,6.54,2.04,3.22,79.53,67.75,52.57
17.08,2.73,nan,41.26,81.56,nan,5.36,2.01,2.68,78.23,62.38,55.92
18.27,2.31,7.19,nan,34.77,2.0,6.52,1.9,3.45,79.57,65.61,56.97
19.44,2.98,nan,16.3,51.8,nan,6.55,2.16,3.05,80.51,68.03,44.46
12.45,2.22,7.31,8.61,26.88,2.0,6.69,2.04,3.29,77.67,65.83,49.5
20.37,nan,7.78,30.43,83.36,3.0,6.63,2.06,3.24,77.67,66.13,57.74
11.45,2.09,6.8,23.02,55.35,nan,6.45,nan,3.2,77.93,nan,56.82
19.05,2.17,7.42,19.96,64.51,nan,5.91,nan,2.73,80.59,68.71,nan
19.46,4.18,8.97,4.97,14.55,nan,5.98,2.19,nan,77.12,69.07,52.54
21.7,2.49,6.64,9.7,33.37,2.0,6.53,2.09,3.14,79.18,67.98,62.87
16.31,2.15,7.11,15.37,38.6,2.0,6.33,1.96,3.24,78.13,65.04,nan
nan,2.99,8.03,26.85,61.89,3.5,5.82,2.2,2.65,78.69,67.13,36.06
21.42,2.65,8.65,nan,96.49,2.0,5.71,2.18,2.62,78.17,63.25,23.53
20.71,nan,7.82,15.14,42.44,3.25,5.75,2.16,2.66,78.86,67.79,33.17
21.97,2.18,8.51,9.93,33.45,2.0,6.0,2.13,2.83,80.24,69.85,44.77
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
15.16,nan,6.65,9.81,32.04,2.0,6.22,2.06,3.04,78.85,66.8,51.98
11.05,2.88,8.14,14.98,38.17,2.75,6.37,2.06,3.1,77.67,nan,29.96
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
13.34,2.79,7.79,7.92,27.6,2.0,nan,2.01,3.27,79.53,66.53,47.72
19.43,2.68,7.4,20.21,64.16,nan,6.23,2.18,2.86,78.16,66.28,41.92
22.09,3.05,6.71,13.79,45.24,nan,5.66,nan,2.49,78.87,68.3,47.06
21.59,3.56,6.97,9.9,nan,2.5,5.58,2.16,2.59,79.6,69.11,52.08
22.37,3.37,8.21,40.92,87.14,4.0,nan,2.33,2.63,nan,64.19,43.71
22.14,2.88,7.54,21.57,65.77,3.0,5.97,2.18,2.74,78.5,66.67,39.59
