352.35274100000004,86.39004164,67.33,nan
355.33144760000005,nan,nan,nan
340.7120387,nan,69.74,nan
nan,nan,nan,210.2
nan,81.10819555,nan,161.21
nan,nan,70.43,nan
398.36252149999996,78.88211435,66.64,nan
344.08950519999996,nan,70.26,nan
nan,89.54883004,nan,227.98
nan,61.83226611,67.68,nan
199.79430290000002,56.31677033,70.61,212.49
nan,88.9329003,69.4,218.81
nan,98.86176326,nan,nan
295.1285846,73.57252671,71.12,195.59
nan,68.89003215,72.5,nan
nan,nan,70.09,220.92
nan,nan,66.64,183.47
nan,71.01790221,68.71,207.84
297.5757777,71.59030418,69.74,nan
295.16727710000004,69.05031687,65.09,187.91
362.4538872,87.07340072,72.33,nan
nan,85.52050472,nan,nan
nan,81.21185961,nan,201.86
nan,92.27315738,70.26,nan
282.2241322,67.86895321,71.81,194.51
361.5821095,nan,68.88,214.78
262.0643238,nan,67.88,235.69
274.6529653,77.98139572,66.99,nan
nan,nan,nan,nan
nan,nan,nan,233.31
nan,74.84483795,69.4,nan
349.9581414,83.94026077,nan,180.92
nan,nan,nan,nan
nan,nan,70.43,nan
nan,nan,66.47,233.23
nan,70.51140589,69.57,nan
nan,69.08023497,71.47,nan
322.1364272,nan,nan,nan
440.6556921,nan,65.95,nan
nan,nan,71.64,nan
nan,84.75169674,nan,221.32
398.9235192,nan,nan,nan
271.1626671,72.16264042,nan,209.21
276.5017077,78.20855527,71.64,235.72
nan,75.46033296,nan,226.63
256.6540233,53.46910882,72.67,217.41
321.7095695,nan,nan,221.78
nan,nan,69.74,207.716701
344.592804,72.15331121,68.37,209.15
nan,nan,67.33,nan
nan,86.38982126,nan,nan
337.4305208,nan,69.74,215.91
294.708279,nan,nan,183.92
nan,64.69858645,nan,nan
322.6273887,nan,69.74,nan
nan,90.21485115,nan,nan
357.93243689999997,nan,68.54,nan
nan,nan,70.43,206.91
355.37609310000005,nan,69.06,207.716701
389.5778074,nan,71.3,nan
nan,65.17710307,nan,179.35
310.04508710000005,77.39631899,nan,235.57
296.821937,nan,68.19,nan
369.61767549999996,nan,72.85,221.67
nan,85.28410212,70.61,225.41
395.58462660000004,89.91842776,68.37,245.87
321.62138239999996,nan,nan,219.81
255.5041374,62.08606708,72.67,nan
369.28839039999997,72.96316373,67.68,193.09
nan,63.82894464,74.92,nan
259.03016809999997,58.398478000000004,69.06,226.1
304.23107339999996,73.41258955,68.37,186.04
343.066529,73.15618188,72.33,213.56
332.60386869999996,76.73477585,nan,224.84
nan,nan,71.47,nan
nan,75.40857982,72.5,231.0
307.3775256,63.430158,nan,nan
302.7386211,73.40417496,69.23,219.52
345.4247381,nan,68.37,177.62
nan,nan,72.33,205.7
nan,64.08488584,73.36,198.19
nan,87.56438896,nan,242.12
252.93661659999998,nan,73.02,224.99
302.43191410000003,85.48247958,72.16,nan
329.0158993,nan,67.68,210.7
246.7847668,61.29600941,69.74,192.05
196.1345366,57.86670293,69.74,208.91
nan,83.77683371,72.5,nan
346.44473389999996,77.5528829,71.81,nan
268.8007392,nan,nan,198.98
nan,82.92945053,68.02,nan
257.4469107,63.22718536,nan,212.7
nan,94.65495074,69.92,nan
378.44285299999996,nan,nan,nan
322.6708625,64.57778488,68.88,200.59
282.2065125,nan,nan,229.7
nan,73.94825345,68.88,nan
280.64,70.25129125,72.33,214.6
nan,nan,68.19,205.19
nan,nan,nan,nan
318.17809960000005,76.50064684,nan,nan
267.9990863,nan,72.67,228.26
nan,nan,69.74,178.66
281.15366780000005,nan,nan,236.75
282.6121202,64.36293934,73.36,nan
276.0267721,nan,70.26,nan
329.6183445,69.28947636,68.71,210.48
364.9879393,nan,nan,217.94
306.78363060000004,66.35421756,70.95,nan
nan,84.28483466,69.06,223.78
259.1954244,nan,nan,nan
260.5645845,nan,71.12,207.716701
294.5664359,nan,71.81,209.82
361.0758303,nan,nan,174.98
nan,58.03245855,70.43,203.19
418.183941,69.8873946,nan,213.1
nan,67.07262891,nan,195.56
266.6668596,nan,70.09,nan
291.2936645,62.08858829,nan,205.4
329.7112243,nan,nan,nan
nan,nan,69.4,247.37
301.10591949999997,61.85596643,69.23,nan
281.44284369999997,71.01496682,69.74,205.94
303.12359869999995,73.21030105,67.68,171.93
419.7904025,84.68871596,68.02,nan
250.62887609999999,74.11753761,69.57,nan
286.3829173,68.47734641,nan,204.82
nan,68.09109287,nan,nan
nan,nan,nan,177.83
252.24758819999997,nan,69.57,nan
256.8325226,69.3598199,70.09,209.91
nan,70.33789556,70.78,166.93
nan,49.77784629,67.68,nan
nan,nan,72.5,211.24
nan,nan,nan,238.39
421.1771364,nan,67.16,196.98
294.86269500000003,66.66272821,72.33,206.42
367.15064920000003,83.72728152,nan,239.7
309.9798832,nan,nan,218.8
277.1601008,nan,69.4,nan
nan,73.35058913,nan,nan
274.89813619999995,61.67593601,nan,nan
nan,78.83285472,70.09,204.56
nan,81.78793581,73.88,nan
400.3196384,nan,nan,nan
319.6392082,70.59663553,70.95,204.53
nan,nan,70.61,215.36
nan,nan,70.26,208.47
371.20991380000004,79.09124656,nan,188.89
nan,76.79833456,68.71,nan
327.3134372,73.96627449,70.61,218.94
337.7407696,nan,nan,222.34
nan,60.23728177,nan,nan
255.98624480000004,nan,71.3,nan
nan,nan,nan,223.89
nan,86.69468542,73.36,221.67
276.0069389,63.97539046,68.02,nan
366.5636204,83.58810703,nan,nan
306.0760085,nan,nan,205.26
266.9587259,68.84862861,67.33,nan
275.500217,78.80692842,nan,nan
324.40326170000003,74.94016573,71.47,245.88
nan,nan,69.23,nan
nan,73.9315043,71.3,224.34
nan,63.40431522,68.71,nan
302.5347105,76.86085231,70.61,220.16
469.5008553,85.82390916,69.57,218.37
264.239579,nan,68.88,nan
412.4257139,83.34247242,nan,219.97
268.47986549999996,nan,nan,224.76
325.8663182,78.71510082,70.61,202.4
298.6962204,60.87973871,nan,211.53
224.2421508,nan,70.95,nan
341.18219300000004,nan,nan,nan
349.3518659,nan,74.74,nan
375.34886560000007,nan,70.26,206.54
nan,72.93348831,68.37,nan
310.60144310000004,63.96782374,71.47,nan
nan,73.5205962,nan,230.68
nan,nan,69.23,198.95
nan,77.59506616,70.95,215.49
349.5174714,88.41308807,67.5,172.95
382.1955876,nan,nan,186.91
316.7304572,69.12687819,71.47,207.716701
307.35339389999996,69.97241839,nan,209.48
nan,66.63458651,69.92,206.2
308.4992955,70.54726271,73.02,nan
nan,57.62942014,72.07,nan
320.1794873,nan,nan,nan
347.83129080000003,nan,69.92,231.93
384.1694389,74.51869612,69.57,237.6
348.2042267,73.00370009,nan,187.27
263.6030827,73.39551359,nan,228.74
nan,51.60208384,nan,226.39
308.5986388,77.51217186,69.4,nan
nan,67.82085638,73.19,155.32
nan,79.1429774,nan,nan
347.13960610000004,78.30004675,72.33,179.71
nan,75.11806393,nan,211.9
nan,nan,70.61,182.48
360.27842730000003,nan,73.19,175.95
357.021524,74.36201789,72.16,nan
292.1055188,71.13250236,nan,nan
nan,66.4323989,nan,nan
364.9859914,76.77555172,nan,nan
nan,87.50811983,70.61,225.33
320.1033417,92.73843144,nan,202.17
nan,nan,66.99,nan
nan,85.0750522,70.95,nan
nan,nan,70.09,nan
nan,74.59819595,nan,189.28
nan,nan,70.78,nan
319.0291586,nan,70.09,197.2
324.2683247,81.64338613,69.57,208.66
nan,77.26581573,70.26,nan
nan,nan,71.12,224.08
305.4536517,nan,nan,nan
300.2112982,72.42516752,70.78,223.63
388.3195469,nan,nan,nan
394.563037,79.56335975,67.33,230.73
nan,78.33996458,71.3,217.92
nan,65.11331183,71.3,nan
nan,78.00011131,71.12,160.99
297.62730869999996,nan,70.95,180.49
283.3621686,64.45144685,73.54,nan
364.6486616,77.72696287,nan,200.24
216.25820430000002,64.94690954,nan,229.23
352.3989596,nan,70.78,235.88
nan,nan,69.06,nan
334.47890789999997,81.87922437,nan,198.58
nan,72.63235544,nan,231.62
nan,85.5457287,nan,227.48
299.44583880000005,57.44759109,nan,201.65
316.7006994,66.86963786,nan,nan
312.1162963,54.99589316,72.16,189.09
243.40793939999998,62.01884874,nan,215.65
314.93642539999996,nan,nan,170.31
433.2846285,nan,71.3,nan
254.17477819999996,53.00756768,71.3,183.14
nan,nan,nan,nan
nan,nan,nan,199.77
nan,82.13059642,nan,187.28
nan,72.41302439,72.5,222.68
316.371857,nan,nan,209.52
313.41670239999996,nan,nan,172.19
nan,nan,nan,nan
372.04981660000004,nan,73.02,197.87
nan,nan,69.57,199.07
nan,72.02921034,nan,232.07
396.24603010000004,91.20213484,nan,nan
335.0069682,66.7943799,nan,197.58
