27.84242021,nan,107.7615334,14.79914466,32.04563896,4.352719746,nan,nan,nan,nan
27.69109183,127.31682830000001,nan,nan,nan,4.133965347,16.74498604,1.911441846,284.6317055,nan
28.16637455,167.01208359999998,139.94245,16.37794916,nan,4.477012018,nan,2.081428779,241.09678050000002,nan
nan,nan,106.4937317,nan,nan,4.100767497,nan,nan,268.13329930000003,124.0494108
28.73738047,152.0341496,nan,14.13797614,31.86428236,4.459034902,nan,2.2504311230000003,230.9133577,nan
nan,nan,nan,nan,25.84125993,nan,15.2781698,nan,nan,nan
28.14286978,117.76311100000001,100.65463790000001,13.74660832,nan,4.459034902,16.68720237,2.180587823,261.22092349999997,nan
nan,nan,nan,13.32559379,35.77612001,4.143908728,nan,nan,nan,130.6069889
nan,nan,103.45836949999999,nan,nan,nan,nan,1.273874747,nan,102.4594702
28.55317295,nan,95.44829061,nan,nan,4.09419182,18.00289208,2.2089189780000003,nan,nan
27.84737897,nan,95.7398902,14.48338376,33.49856316,4.105739188,16.51829625,nan,nan,135.6014945
27.79092875,nan,99.25583452,nan,32.00637073,3.7243238030000003,17.05464724,2.254563618,275.6064904,nan
27.96484752,nan,nan,14.27287649,nan,3.745867797,nan,2.218362697,247.4483409,100.22476479999999
nan,nan,nan,13.95711559,nan,3.750839488,18.77630428,nan,296.0566889,137.2012016
nan,121.065087,101.07107579999999,nan,nan,nan,nan,nan,260.9209525,nan
nan,126.99920970000001,nan,13.36067833,nan,3.76575456,16.88129623,2.194753401,280.0538869,nan
27.223083399999997,122.1888071,103.3078762,nan,nan,3.770726251,15.38781061,nan,251.15233089999998,110.20156429999999
27.35526685,119.56504650000001,100.91015429999999,14.16762286,35.60595772,3.787298554,16.21159831,nan,nan,nan
28.21951397,nan,nan,13.95711559,nan,nan,18.01622677,nan,271.1721361,112.48511570000001
27.81113723,129.0747375,107.14467890000002,nan,34.4802687,3.795584706,16.9983452,nan,nan,103.52187109999998
nan,nan,nan,14.16762286,35.030023799999995,3.795584706,nan,2.426124504,276.79333230000003,132.4753492
nan,nan,nan,15.04693973,nan,nan,17.3249794,nan,250.9566977,nan
28.45019003,nan,nan,nan,31.06393341,3.815471469,16.61460237,nan,nan,94.85170259
nan,nan,nan,nan,nan,nan,15.46079241,nan,nan,nan
nan,nan,105.478431,13.70450687,34.66875616,3.834363895,nan,nan,256.773527,108.68733770000001
27.56677586,131.99620009999998,nan,nan,35.34416957,nan,nan,2.265581289,264.55973140000003,nan
nan,nan,82.93775132,nan,nan,nan,nan,2.364740334,nan,73.57926106
nan,160.2045097,131.6155806,15.32541283,34.44100048,nan,18.40737777,2.51583983,257.98645330000005,116.13635559999999
nan,170.434346,143.0044139,14.06236922,37.3861171,nan,nan,nan,286.8749671,nan
28.45972798,nan,nan,nan,nan,3.850273305,16.20270852,2.147534808,nan,nan
nan,135.9690538,112.38548490000002,16.30778008,34.4802687,3.850273305,16.55089217,2.63860817,nan,nan
nan,nan,nan,12.64140665,nan,3.8560196469999997,16.6539634,nan,nan,127.08844009999999
27.85813953,165.0725658,nan,17.21997823,34.75514625,nan,19.55860627,2.393071489,nan,nan
nan,nan,nan,15.27278601,33.34149027,nan,nan,nan,nan,97.19631153
27.83457753,nan,97.57851844,nan,nan,3.87513176,15.669320800000001,nan,nan,nan
nan,nan,nan,nan,nan,3.875911645,18.07683397,nan,nan,nan
nan,132.6786085,nan,14.16762286,40.76318416,3.880103451,nan,2.223084556,nan,nan
nan,130.1913873,nan,nan,32.44646251,nan,16.18552864,2.3361349419999997,220.2739312,nan
28.05394868,113.5921387,nan,nan,nan,nan,14.88998207,nan,nan,nan
nan,nan,115.75142549999998,nan,nan,3.890046833,19.45192873,2.506396111,nan,nan
nan,118.01940719999999,98.33460365,15.00965193,34.1268547,3.890046833,nan,nan,256.2127117,nan
27.62841066,117.3480054,99.94398467,15.92185009,nan,nan,15.65894937,2.26085943,nan,nan
28.23577841,160.68879950000002,137.7757579,nan,37.97514043,4.472040327,19.07855732,nan,nan,108.8338757
