nan,nan,nan,33.82,nan,3.0,nan,2.27,2.6,77.98,66.28,28.26
13.93,3.16,7.15,nan,47.63,nan,6.0,2.25,2.68,nan,69.29,51.97
18.53,nan,5.83,8.19,30.31,nan,6.3,2.18,nan,77.78,nan,53.14
nan,3.22,5.99,7.07,nan,nan,5.91,2.29,nan,nan,nan,43.63
13.95,nan,nan,8.26,nan,2.0,nan,1.98,3.36,nan,nan,38.69
19.31,nan,7.54,nan,nan,nan,nan,nan,2.57,nan,67.65,42.01
nan,2.53,6.61,nan,nan,nan,nan,2.27,2.62,nan,69.5,nan
11.53,nan,nan,6.98,nan,nan,nan,nan,2.58,nan,66.67,44.37
20.97,nan,nan,10.76,42.22,2.88,5.86,2.27,nan,nan,nan,nan
nan,2.97,nan,nan,70.93,nan,nan,nan,2.72,nan,nan,nan
22.2,2.71,nan,8.7,29.51,2.0,5.86,nan,2.8,nan,nan,55.07
22.1,4.49,7.49,nan,13.93,nan,5.64,2.2,2.57,nan,68.58,60.08
25.11,nan,7.37,nan,85.53,3.75,nan,2.24,2.61,79.57,67.36,53.33
24.94,nan,9.22,26.51,nan,3.13,nan,2.29,nan,80.31,66.14,51.7
21.1,2.63,nan,9.6,nan,nan,6.0,2.18,2.76,nan,nan,nan
25.76,3.92,nan,18.08,nan,3.0,nan,nan,nan,80.94,68.29,53.75
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,6.57,nan,27.96,2.0,6.2,nan,3.21,78.9,66.47,nan
nan,2.06,6.74,7.22,20.32,nan,nan,nan,3.52,nan,nan,nan
nan,2.27,8.1,5.43,16.77,2.0,5.99,nan,3.2,nan,nan,40.04
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,3.24,nan,4.45,nan,2.0,nan,1.91,3.29,nan,66.98,56.12
21.33,2.35,7.14,18.83,44.68,1.0,5.85,nan,2.86,78.28,67.32,nan
12.02,3.01,7.9,4.71,16.85,1.88,nan,1.93,nan,77.78,65.5,54.58
13.11,3.24,7.6,7.99,nan,2.0,6.49,nan,3.27,nan,nan,nan
10.66,2.39,nan,nan,13.38,1.5,nan,1.94,nan,nan,nan,50.0
nan,3.31,7.8,20.5,nan,nan,nan,2.06,3.1,78.28,nan,57.77
14.1,4.71,nan,3.81,nan,1.13,6.85,nan,3.16,nan,nan,nan
nan,3.18,nan,nan,nan,3.0,nan,nan,2.6,79.53,68.03,nan
nan,3.23,nan,38.16,62.33,3.0,5.99,nan,2.83,74.66,63.85,nan
19.18,2.33,7.34,4.76,17.0,1.88,5.93,nan,nan,nan,nan,nan
nan,nan,nan,6.47,27.54,nan,6.78,2.06,nan,nan,nan,57.94
18.11,2.69,nan,7.62,23.48,3.0,5.96,2.14,nan,76.07,67.1,nan
18.96,nan,6.56,13.18,39.85,3.0,5.88,nan,nan,77.73,nan,nan
20.93,3.76,6.48,15.34,nan,nan,5.94,nan,2.6,78.73,68.25,57.39
27.05,2.53,6.19,24.4,79.55,nan,5.73,nan,2.51,79.29,nan,nan
nan,nan,nan,12.46,nan,nan,nan,nan,2.72,81.02,68.1,49.91
nan,nan,7.52,nan,42.27,nan,6.41,nan,nan,nan,65.04,46.82
12.79,nan,nan,nan,nan,1.88,6.5,nan,3.16,77.74,nan,30.2
23.37,2.93,nan,47.74,nan,nan,nan,2.52,nan,75.49,62.84,39.2
21.34,nan,6.25,nan,nan,3.0,5.8,2.32,2.51,78.11,67.25,47.91
22.35,nan,7.44,nan,84.7,3.5,nan,nan,3.12,nan,68.43,nan
23.33,2.95,nan,21.29,64.0,nan,5.77,2.23,2.59,80.78,nan,43.25
nan,2.87,nan,26.93,nan,3.88,nan,2.21,2.64,80.55,67.97,32.93
20.62,3.53,7.11,28.02,78.79,4.0,nan,2.22,2.61,nan,65.95,42.01
nan,nan,8.79,nan,51.76,nan,5.74,2.15,2.68,nan,67.0,23.4
24.0,3.84,6.65,32.62,nan,4.0,5.73,nan,2.53,nan,nan,41.92
24.76,2.62,nan,nan,83.59,4.0,5.89,nan,2.67,81.09,66.47,47.37
nan,3.19,nan,11.31,32.72,nan,6.54,nan,3.22,79.53,67.75,52.57
17.08,2.73,nan,nan,81.56,nan,5.36,2.01,2.68,nan,nan,nan
18.27,2.31,7.19,10.84,34.77,2.0,nan,1.9,3.45,79.57,nan,56.97
nan,nan,7.38,nan,nan,2.0,nan,2.16,3.05,80.51,68.03,44.46
12.45,2.22,nan,8.61,26.88,2.0,6.69,nan,3.29,77.67,nan,49.5
20.37,nan,nan,nan,nan,nan,6.63,2.06,3.24,nan,nan,57.74
11.45,nan,nan,nan,55.35,3.0,6.45,nan,3.2,77.93,nan,56.82
nan,2.17,7.42,19.96,nan,3.0,nan,2.17,2.73,80.59,68.71,49.9
nan,4.18,nan,4.97,14.55,2.0,5.98,2.19,nan,77.12,nan,52.54
21.7,2.49,nan,9.7,33.37,2.0,6.53,2.09,3.14,79.18,nan,62.87
16.31,nan,7.11,15.37,nan,2.0,6.33,nan,nan,78.13,65.04,39.26
20.39,2.99,nan,nan,61.89,3.5,5.82,nan,nan,78.69,67.13,36.06
nan,2.65,nan,nan,96.49,2.0,nan,2.18,2.62,78.17,nan,23.53
20.71,nan,nan,nan,nan,nan,5.75,nan,nan,78.86,67.79,33.17
nan,nan,nan,9.93,33.45,2.0,6.0,2.13,2.83,80.24,69.85,44.77
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,32.04,2.0,nan,nan,3.04,78.85,66.8,51.98
nan,2.88,8.14,nan,38.17,2.75,nan,2.06,nan,nan,66.68,29.96
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,2.79,7.79,nan,27.6,2.0,6.56,nan,3.27,79.53,66.53,nan
nan,nan,7.4,20.21,64.16,nan,6.23,2.18,2.86,nan,66.28,nan
nan,nan,nan,13.79,45.24,2.88,nan,2.27,nan,78.87,68.3,nan
21.59,nan,6.97,9.9,40.45,nan,nan,2.16,2.59,79.6,69.11,52.08
nan,3.37,nan,40.92,nan,nan,6.09,2.33,2.63,77.49,64.19,43.71
nan,2.88,7.54,nan,nan,3.0,nan,nan,2.74,nan,nan,39.59
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
22.89,2.44,nan,22.04,63.89,3.0,5.93,2.26,nan,nan,nan,nan
10.76,nan,nan,nan,38.63,2.0,6.61,2.05,3.24,nan,64.88,nan
15.01,3.26,7.23,4.69,nan,2.0,nan,2.09,3.21,78.74,66.73,55.71
25.42,2.46,7.04,nan,83.38,4.0,5.72,nan,nan,79.49,63.87,28.71
14.8,nan,nan,nan,nan,1.0,5.64,2.36,nan,78.92,nan,nan
21.1,3.9,7.4,14.4,nan,nan,5.86,nan,nan,nan,64.85,nan
nan,2.52,nan,9.0,nan,nan,5.91,2.13,2.78,78.66,67.39,nan
22.02,2.81,7.95,9.32,nan,2.0,6.43,2.0,nan,nan,66.8,nan
21.3,nan,6.32,nan,52.44,2.5,6.29,2.0,3.16,nan,nan,46.85
21.26,2.79,7.49,9.52,nan,nan,5.9,2.25,nan,nan,nan,nan
13.11,nan,nan,13.17,39.14,2.0,6.49,nan,3.56,nan,nan,nan
20.05,3.34,6.98,7.27,26.14,2.0,nan,1.99,nan,80.32,68.6,nan
16.43,3.38,nan,4.28,11.68,2.0,6.63,2.1,nan,79.88,nan,nan
22.05,3.65,7.16,6.72,nan,2.0,nan,2.24,2.56,nan,68.52,52.76
nan,3.05,6.41,nan,nan,2.0,nan,1.99,nan,nan,nan,64.79
14.1,nan,nan,3.21,nan,1.88,6.72,2.12,3.18,78.64,67.37,nan
12.19,2.39,nan,6.36,nan,nan,6.39,nan,nan,79.36,nan,nan
11.71,2.56,6.47,nan,nan,nan,6.73,2.03,nan,80.34,nan,43.27
12.21,nan,nan,15.25,nan,2.0,nan,2.1,nan,78.45,nan,nan
13.03,2.78,6.58,nan,nan,2.0,nan,nan,3.35,77.84,65.88,28.65
13.07,2.66,8.05,nan,nan,nan,6.7,2.01,nan,78.7,nan,25.72
14.3,nan,6.85,8.04,nan,2.0,6.7,2.11,3.18,nan,nan,35.71
10.29,nan,6.75,nan,nan,3.13,6.31,1.94,nan,78.41,nan,nan
12.44,nan,6.63,nan,48.28,nan,6.52,nan,nan,nan,nan,34.5
12.55,2.71,6.4,16.23,nan,2.0,nan,nan,nan,79.07,64.54,40.04
13.73,3.72,7.24,nan,nan,nan,nan,nan,nan,nan,64.77,43.44
11.88,nan,nan,nan,nan,nan,nan,1.98,3.35,77.45,nan,35.95
14.15,2.3,6.26,nan,26.45,nan,nan,nan,nan,nan,nan,52.79
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
21.23,nan,7.18,21.08,60.7,3.0,6.9,nan,3.48,78.93,nan,36.66
20.01,nan,6.47,21.28,58.29,3.0,nan,2.0,3.42,nan,nan,24.32
21.6,nan,6.54,26.59,nan,3.13,nan,nan,3.56,78.67,nan,29.55
14.27,2.23,6.77,13.02,39.71,2.0,nan,nan,nan,78.27,nan,34.35
13.58,3.21,7.66,nan,37.92,2.13,6.5,nan,nan,nan,65.1,48.25
11.96,nan,7.33,nan,29.83,2.0,6.61,nan,nan,nan,64.85,41.99
18.44,2.13,7.54,nan,nan,2.5,6.29,nan,3.33,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
14.88,nan,nan,4.69,17.41,nan,nan,2.12,3.16,78.95,nan,60.35
nan,2.93,6.87,39.11,nan,nan,nan,nan,nan,nan,nan,nan
27.41,3.08,nan,18.98,75.72,2.75,5.97,nan,nan,nan,66.27,48.41
25.74,nan,nan,16.38,73.3,2.5,nan,nan,nan,79.84,nan,53.49
nan,2.87,nan,13.97,nan,2.0,nan,nan,2.62,nan,67.06,58.82
22.44,2.7,nan,nan,nan,nan,6.65,1.87,3.57,79.84,nan,57.71
23.38,2.67,7.77,nan,nan,nan,5.81,nan,2.55,80.0,nan,63.76
26.84,2.87,5.79,26.34,nan,nan,5.85,nan,2.58,80.47,nan,50.0
17.62,2.27,nan,nan,31.35,2.0,5.7,2.18,nan,nan,nan,nan
nan,2.7,nan,17.46,63.26,3.25,nan,nan,2.56,77.69,nan,58.96
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
24.95,2.32,6.2,15.93,51.47,nan,5.74,2.04,nan,79.46,nan,nan
nan,3.42,nan,nan,nan,1.75,5.73,nan,2.66,79.19,nan,nan
nan,nan,nan,nan,88.99,nan,nan,2.19,nan,79.3,64.6,33.59
23.27,nan,nan,nan,93.2,nan,nan,2.25,nan,76.36,62.79,nan
24.68,2.73,nan,28.74,74.16,3.5,nan,nan,nan,80.86,nan,nan
21.85,nan,nan,nan,44.13,2.0,nan,2.09,2.8,nan,65.89,nan
23.67,nan,6.88,20.69,58.39,2.5,5.72,2.18,2.63,80.39,67.84,47.65
nan,2.72,nan,20.45,57.98,nan,6.81,nan,nan,80.39,67.84,59.22
20.04,nan,6.28,13.73,37.33,nan,6.42,1.8,nan,79.15,67.18,41.7
20.14,nan,nan,14.07,37.53,2.0,6.06,1.83,3.32,79.92,67.57,nan
19.56,nan,6.62,nan,40.69,2.0,6.22,nan,nan,79.53,nan,58.2
19.57,2.65,nan,nan,50.93,2.0,nan,1.95,3.4,nan,67.86,46.43
21.52,nan,nan,11.28,32.46,nan,6.36,1.87,3.41,nan,66.54,49.69
nan,2.72,nan,9.3,nan,2.0,6.45,nan,nan,79.3,66.8,nan
19.95,2.47,nan,nan,43.84,2.25,6.81,1.99,3.44,80.24,66.8,42.81
nan,2.2,7.41,14.77,nan,2.0,nan,nan,nan,77.91,67.83,nan
17.6,nan,7.92,34.61,77.21,3.0,nan,2.07,3.14,77.04,nan,nan
20.26,nan,6.64,nan,nan,1.75,6.85,nan,3.39,76.36,64.34,58.14
nan,2.82,nan,22.5,75.46,nan,nan,2.19,nan,79.76,nan,44.84
20.92,2.82,6.9,51.83,nan,2.0,5.71,2.09,2.74,75.0,63.55,22.66
22.59,2.13,6.52,nan,nan,nan,nan,nan,3.1,78.68,67.44,58.68
21.78,nan,nan,9.31,nan,2.0,6.84,1.97,3.48,nan,65.64,43.24
nan,3.12,9.67,nan,77.77,3.0,5.31,2.46,nan,nan,66.41,nan
25.15,nan,7.52,19.39,73.93,nan,5.92,nan,nan,79.45,nan,nan
23.33,2.45,nan,nan,67.54,3.0,5.76,2.24,2.58,nan,66.67,56.39
10.72,nan,10.12,nan,76.69,nan,nan,2.26,2.38,76.49,nan,nan
11.84,nan,nan,6.75,19.99,2.0,nan,nan,2.99,nan,64.45,47.66
nan,5.18,6.91,nan,62.03,2.75,6.65,2.13,nan,nan,64.82,nan
nan,nan,6.9,nan,nan,nan,6.48,1.98,nan,77.6,nan,43.0
nan,2.08,8.33,6.55,22.63,2.0,6.73,1.87,nan,nan,65.88,nan
nan,nan,nan,nan,58.55,3.75,nan,nan,2.55,79.3,nan,57.81
nan,2.97,6.21,21.01,58.91,3.0,6.59,1.94,nan,78.0,64.2,nan
nan,2.68,7.36,23.8,68.97,3.75,5.7,nan,2.61,nan,nan,55.0
22.28,nan,6.87,17.53,nan,2.0,nan,2.03,nan,78.68,nan,nan
nan,2.5,nan,33.28,82.32,4.0,5.7,2.13,2.68,nan,66.41,55.1
19.22,2.85,7.33,30.12,69.05,3.25,5.82,nan,2.62,80.0,68.8,nan
25.3,2.79,6.84,27.73,83.71,nan,nan,2.26,nan,nan,nan,40.48
23.04,2.63,7.27,35.78,nan,nan,nan,nan,2.66,80.78,66.27,nan
26.04,nan,5.91,32.61,76.43,4.0,5.99,nan,2.78,nan,nan,32.8
nan,nan,nan,17.33,46.4,nan,5.91,nan,nan,nan,67.05,nan
25.5,2.28,7.01,14.03,40.73,2.0,nan,nan,3.43,nan,66.14,47.64
24.55,2.33,7.37,nan,nan,nan,6.58,2.09,3.16,81.25,68.75,nan
nan,2.15,nan,nan,nan,2.0,nan,2.03,nan,77.87,67.19,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
22.4,2.33,6.01,30.31,73.51,nan,5.97,nan,2.76,79.13,67.1,42.9
22.23,2.28,6.36,20.27,69.74,nan,5.79,2.18,2.66,nan,nan,55.6
22.81,2.71,nan,3.02,13.87,2.0,nan,2.25,2.71,nan,68.13,54.54
23.55,2.12,nan,5.6,nan,nan,nan,nan,3.26,nan,nan,57.37
nan,2.56,6.28,nan,65.98,nan,5.57,nan,2.61,79.37,nan,46.2
25.86,2.63,7.28,nan,77.84,nan,5.66,nan,nan,80.93,nan,53.0
23.55,2.57,nan,nan,73.53,nan,5.73,nan,nan,nan,68.0,43.97
23.81,nan,8.11,19.23,57.85,nan,nan,nan,2.66,77.2,66.4,nan
nan,2.4,nan,nan,nan,3.0,5.92,2.06,nan,78.91,nan,55.23
nan,nan,nan,20.78,nan,4.0,nan,2.05,nan,nan,66.93,54.92
20.13,2.52,5.99,nan,34.68,2.0,nan,nan,3.23,80.0,68.63,nan
11.68,2.52,9.02,nan,43.54,1.75,6.03,nan,2.7,78.29,65.12,nan
nan,2.38,6.38,nan,44.94,2.25,6.53,2.09,3.13,80.93,nan,59.14
18.99,2.08,6.82,17.27,nan,nan,6.66,1.95,nan,79.13,nan,41.34
21.17,2.65,nan,24.93,76.92,3.0,6.31,2.17,nan,nan,nan,56.0
nan,nan,6.69,nan,nan,nan,5.48,2.19,2.51,79.76,nan,53.89
25.14,nan,5.85,6.03,nan,2.0,nan,nan,3.4,78.99,nan,nan
nan,2.95,nan,38.72,nan,4.0,6.02,2.28,nan,78.88,66.53,45.6
27.06,2.82,nan,22.46,68.18,4.0,nan,2.13,2.83,76.9,65.22,nan
nan,nan,nan,29.4,74.58,3.0,6.14,2.06,nan,80.47,nan,54.41
nan,3.03,nan,nan,88.72,nan,nan,nan,nan,80.0,66.41,nan
