21.16,3.21,8.18,33.82,71.09,3.0,nan,2.27,2.6,77.98,66.28,28.26
13.93,3.16,nan,12.93,nan,1.5,6.0,2.25,nan,78.85,69.29,51.97
nan,2.92,nan,8.19,30.31,2.0,6.3,2.18,2.91,77.78,66.99,53.14
22.08,3.22,5.99,7.07,30.13,nan,5.91,2.29,nan,77.89,65.95,43.63
13.95,nan,nan,8.26,26.49,2.0,6.64,1.98,3.36,nan,nan,38.69
19.31,2.53,7.54,45.71,86.91,4.0,5.8,nan,2.57,78.67,nan,42.01
nan,nan,6.61,nan,47.91,2.0,5.95,2.27,2.62,80.31,69.5,53.52
11.53,nan,7.51,6.98,nan,nan,5.7,2.21,nan,nan,66.67,44.37
20.97,3.37,7.65,10.76,42.22,2.88,5.86,nan,2.59,77.67,nan,nan
nan,2.97,nan,nan,nan,nan,nan,1.93,2.72,nan,nan,33.82
22.2,2.71,6.79,8.7,nan,2.0,5.86,2.1,2.8,77.74,66.8,55.07
22.1,4.49,7.49,3.61,13.93,2.0,5.64,2.2,2.57,nan,68.58,60.08
25.11,2.62,7.37,nan,85.53,3.75,5.83,nan,2.61,79.57,nan,53.33
24.94,4.15,9.22,26.51,87.53,3.13,5.8,2.29,2.54,80.31,66.14,51.7
nan,2.63,10.09,9.6,33.16,2.0,nan,nan,2.76,78.27,67.13,44.25
25.76,nan,nan,18.08,47.34,nan,nan,2.03,2.87,80.94,68.29,53.75
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
23.69,4.4,6.57,nan,nan,2.0,6.2,nan,3.21,78.9,66.47,43.0
12.45,2.06,6.74,7.22,20.32,2.0,nan,1.84,3.52,78.54,66.02,43.69
nan,2.27,8.1,5.43,16.77,nan,5.99,1.88,3.2,77.15,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
13.34,3.24,7.2,4.45,15.48,nan,6.25,1.91,3.29,72.81,66.98,56.12
21.33,nan,nan,18.83,44.68,1.0,5.85,nan,2.86,78.28,67.32,45.85
12.02,3.01,7.9,nan,16.85,nan,6.24,1.93,3.24,77.78,65.5,54.58
13.11,3.24,7.6,7.99,25.44,2.0,6.49,1.99,3.27,79.34,nan,43.21
10.66,2.39,8.4,4.41,nan,nan,5.78,nan,2.99,77.58,67.25,50.0
19.11,3.31,7.8,20.5,53.83,2.88,6.37,2.06,nan,78.28,66.92,57.77
14.1,nan,7.28,3.81,17.76,nan,6.85,nan,3.16,77.97,nan,58.54
20.21,3.18,9.35,20.32,62.49,nan,nan,2.26,nan,79.53,nan,53.02
16.73,3.23,10.05,38.16,62.33,nan,5.99,2.13,nan,74.66,63.85,nan
nan,nan,7.34,nan,17.0,1.88,nan,nan,nan,77.8,65.42,50.54
nan,3.48,nan,6.47,27.54,2.0,nan,2.06,nan,79.11,67.89,57.94
18.11,nan,7.36,7.62,23.48,3.0,5.96,2.14,nan,76.07,67.1,nan
18.96,2.0,6.56,13.18,39.85,3.0,5.88,2.15,nan,77.73,68.99,31.17
20.93,3.76,nan,15.34,53.33,2.75,5.94,2.29,2.6,78.73,68.25,57.39
27.05,2.53,6.19,24.4,79.55,3.75,nan,2.28,2.51,nan,66.86,nan
18.35,2.75,8.23,12.46,38.56,3.0,5.8,2.13,2.72,81.02,68.1,49.91
nan,3.16,nan,17.01,42.27,2.0,6.41,1.97,nan,78.2,65.04,46.82
12.79,3.54,7.86,9.16,31.2,1.88,6.5,2.06,3.16,77.74,66.3,30.2
23.37,2.93,8.73,47.74,92.24,nan,4.99,2.52,nan,75.49,nan,39.2
21.34,2.41,6.25,nan,nan,3.0,5.8,2.32,nan,78.11,67.25,nan
22.35,2.72,7.44,nan,nan,nan,6.64,2.13,3.12,80.9,68.43,41.13
nan,2.95,nan,21.29,64.0,3.5,nan,2.23,2.59,80.78,nan,nan
20.71,2.87,nan,nan,nan,3.88,5.81,2.21,nan,nan,67.97,32.93
20.62,3.53,7.11,28.02,78.79,4.0,5.77,2.22,nan,77.47,65.95,42.01
nan,3.61,8.79,28.96,51.76,3.0,5.74,2.15,2.68,78.6,nan,23.4
24.0,nan,6.65,32.62,92.27,4.0,5.73,2.27,nan,79.88,nan,41.92
24.76,2.62,8.26,37.48,83.59,4.0,5.89,2.22,2.67,81.09,66.47,47.37
15.85,3.19,7.74,11.31,32.72,2.0,6.54,nan,3.22,79.53,nan,52.57
17.08,2.73,nan,41.26,81.56,nan,5.36,2.01,2.68,78.23,62.38,55.92
18.27,2.31,7.19,10.84,34.77,2.0,6.52,1.9,3.45,79.57,65.61,56.97
19.44,2.98,7.38,16.3,nan,2.0,6.55,2.16,3.05,80.51,68.03,44.46
12.45,2.22,7.31,nan,26.88,2.0,6.69,2.04,3.29,77.67,65.83,49.5
