21.16,3.21,8.18,33.82,71.09,3.0,5.89,2.27,nan,77.98,nan,28.26
13.93,nan,7.15,12.93,nan,1.5,6.0,2.25,nan,78.85,69.29,51.97
nan,2.92,5.83,8.19,nan,nan,6.3,2.18,2.91,77.78,66.99,53.14
22.08,3.22,nan,7.07,30.13,2.0,5.91,nan,2.59,77.89,nan,43.63
13.95,2.57,nan,nan,26.49,2.0,6.64,1.98,3.36,77.58,67.18,38.69
19.31,2.53,7.54,45.71,nan,4.0,5.8,2.27,2.57,nan,nan,42.01
21.23,2.53,6.61,14.3,47.91,2.0,5.95,2.27,2.62,80.31,69.5,53.52
11.53,2.22,7.51,6.98,nan,nan,5.7,2.21,2.58,78.38,66.67,44.37
nan,3.37,7.65,10.76,42.22,2.88,5.86,nan,nan,77.67,66.41,54.25
15.23,2.97,nan,36.32,nan,3.0,5.23,1.93,2.72,nan,nan,33.82
nan,2.71,6.79,nan,29.51,nan,5.86,2.1,2.8,77.74,66.8,55.07
nan,nan,7.49,3.61,13.93,2.0,nan,2.2,2.57,78.06,68.58,60.08
25.11,2.62,nan,27.15,nan,3.75,5.83,2.24,nan,79.57,67.36,53.33
24.94,4.15,9.22,26.51,87.53,3.13,nan,2.29,nan,80.31,66.14,51.7
21.1,2.63,10.09,9.6,33.16,2.0,6.0,2.18,2.76,78.27,67.13,44.25
25.76,3.92,7.79,18.08,47.34,3.0,5.82,2.03,nan,80.94,68.29,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
23.69,nan,6.57,9.93,27.96,2.0,nan,1.94,3.21,78.9,nan,43.0
12.45,nan,6.74,nan,20.32,2.0,nan,1.84,3.52,78.54,nan,43.69
11.99,2.27,8.1,5.43,16.77,2.0,5.99,1.88,3.2,nan,nan,40.04
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
13.34,3.24,7.2,4.45,nan,2.0,6.25,1.91,3.29,72.81,66.98,nan
21.33,2.35,nan,nan,44.68,1.0,5.85,2.05,nan,78.28,67.32,45.85
nan,3.01,7.9,4.71,16.85,1.88,6.24,nan,3.24,77.78,65.5,54.58
nan,3.24,nan,7.99,25.44,2.0,6.49,nan,3.27,79.34,66.0,43.21
10.66,2.39,nan,4.41,nan,1.5,5.78,1.94,2.99,77.58,nan,50.0
19.11,3.31,7.8,20.5,53.83,2.88,6.37,nan,3.1,78.28,66.92,57.77
14.1,4.71,7.28,3.81,17.76,1.13,6.85,nan,3.16,77.97,nan,58.54
20.21,3.18,9.35,20.32,nan,nan,5.85,2.26,2.6,nan,68.03,53.02
16.73,nan,10.05,38.16,62.33,3.0,nan,2.13,nan,74.66,nan,nan
nan,2.33,7.34,4.76,nan,1.88,5.93,1.94,3.07,77.8,65.42,nan
18.09,3.48,nan,6.47,27.54,2.0,6.78,2.06,3.3,79.11,67.89,57.94
18.11,2.69,7.36,nan,23.48,nan,5.96,2.14,2.79,76.07,67.1,nan
18.96,2.0,6.56,nan,nan,nan,nan,2.15,2.75,77.73,68.99,31.17
20.93,3.76,6.48,nan,53.33,nan,5.94,2.29,2.6,nan,68.25,nan
27.05,2.53,6.19,24.4,79.55,3.75,5.73,2.28,2.51,79.29,66.86,58.93
18.35,nan,8.23,12.46,38.56,3.0,nan,2.13,2.72,81.02,68.1,49.91
21.54,3.16,7.52,17.01,42.27,2.0,6.41,1.97,3.26,78.2,65.04,46.82
nan,nan,7.86,9.16,31.2,1.88,6.5,nan,3.16,77.74,66.3,nan
23.37,2.93,8.73,47.74,92.24,nan,4.99,2.52,nan,75.49,62.84,39.2
21.34,2.41,6.25,15.82,nan,3.0,5.8,2.32,2.51,nan,67.25,47.91
22.35,nan,7.44,33.93,84.7,nan,nan,2.13,nan,80.9,68.43,41.13
23.33,2.95,6.1,21.29,64.0,3.5,5.77,2.23,2.59,80.78,67.65,nan
20.71,2.87,7.58,nan,73.41,3.88,5.81,2.21,2.64,80.55,67.97,32.93
nan,3.53,7.11,28.02,nan,nan,5.77,2.22,2.61,77.47,65.95,42.01
nan,3.61,8.79,28.96,51.76,nan,5.74,2.15,2.68,78.6,67.0,23.4
nan,nan,6.65,32.62,nan,4.0,nan,2.27,2.53,79.88,64.87,nan
24.76,2.62,8.26,nan,83.59,4.0,nan,2.22,2.67,81.09,66.47,47.37
15.85,3.19,7.74,11.31,32.72,2.0,nan,2.04,3.22,79.53,67.75,52.57
nan,2.73,nan,41.26,81.56,4.0,5.36,2.01,2.68,78.23,62.38,nan
18.27,2.31,7.19,10.84,34.77,2.0,nan,nan,3.45,79.57,65.61,56.97
nan,2.98,7.38,16.3,51.8,nan,6.55,2.16,3.05,80.51,68.03,nan
12.45,2.22,nan,8.61,nan,2.0,6.69,nan,3.29,77.67,65.83,49.5
nan,nan,7.78,30.43,nan,3.0,6.63,2.06,nan,77.67,66.13,57.74
nan,2.09,nan,23.02,55.35,3.0,nan,nan,nan,nan,nan,56.82
19.05,2.17,7.42,nan,64.51,nan,5.91,nan,nan,80.59,68.71,nan
19.46,4.18,8.97,nan,nan,nan,5.98,2.19,2.75,nan,nan,52.54
21.7,2.49,6.64,9.7,33.37,2.0,nan,2.09,3.14,79.18,67.98,nan
16.31,2.15,7.11,15.37,38.6,2.0,6.33,1.96,3.24,78.13,65.04,39.26
20.39,2.99,nan,nan,61.89,3.5,5.82,2.2,2.65,78.69,67.13,36.06
21.42,2.65,8.65,nan,96.49,2.0,5.71,nan,nan,78.17,63.25,23.53
20.71,2.58,nan,15.14,42.44,nan,5.75,2.16,2.66,78.86,67.79,33.17
nan,2.18,8.51,9.93,nan,2.0,nan,2.13,2.83,nan,69.85,44.77
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
15.16,2.33,nan,9.81,32.04,2.0,6.22,2.06,3.04,78.85,nan,51.98
nan,2.88,8.14,14.98,38.17,2.75,6.37,2.06,3.1,77.67,nan,29.96
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
13.34,2.79,7.79,7.92,27.6,2.0,6.56,nan,nan,nan,nan,47.72
19.43,2.68,nan,20.21,64.16,3.0,6.23,nan,2.86,78.16,66.28,41.92
22.09,nan,6.71,13.79,nan,nan,nan,2.27,2.49,78.87,68.3,47.06
21.59,3.56,6.97,9.9,40.45,2.5,5.58,2.16,2.59,79.6,nan,52.08
22.37,3.37,8.21,40.92,87.14,4.0,6.09,2.33,2.63,77.49,64.19,nan
22.14,2.88,7.54,21.57,65.77,3.0,5.97,2.18,2.74,78.5,66.67,39.59
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
22.89,2.44,nan,22.04,nan,nan,5.93,2.26,2.63,79.8,nan,52.52
10.76,3.04,6.84,nan,38.63,2.0,6.61,2.05,3.24,78.97,64.88,30.16
15.01,3.26,7.23,4.69,19.87,2.0,nan,2.09,nan,78.74,66.73,55.71
25.42,2.46,7.04,36.16,83.38,4.0,5.72,2.08,2.76,79.49,63.87,28.71
14.8,4.58,nan,2.93,nan,1.0,5.64,2.36,2.4,nan,69.05,nan
nan,3.9,7.4,14.4,43.17,2.0,5.86,1.98,2.98,77.34,64.85,57.29
21.03,2.52,7.07,nan,31.45,2.0,5.91,nan,2.78,78.66,nan,52.09
22.02,2.81,7.95,nan,30.88,2.0,6.43,nan,3.22,79.64,66.8,54.3
21.3,2.75,6.32,19.77,52.44,2.5,nan,2.0,3.16,nan,nan,46.85
