45.5475,nan,nan,nan,nan,54.835,nan,26.6675
48.3175,nan,10.58,nan,nan,55.585,nan,nan
nan,nan,nan,nan,14.5,55.25,nan,25.9925
nan,25.4325,nan,125.5075,14.1675,nan,nan,25.785
42.8025,nan,11.415,115.8075,13.335,63.5,nan,nan
nan,26.205,9.75,121.0,nan,nan,nan,25.525
42.7175,nan,11.0825,120.2,nan,52.6675,nan,nan
nan,nan,nan,118.2175,nan,nan,209.9175,nan
nan,24.65,9.415,118.125,13.1675,45.3325,nan,nan
46.405,nan,13.75,125.05,nan,nan,nan,25.2675
48.4325,nan,nan,nan,11.0825,53.5825,175.9975,nan
49.1825,25.495,nan,120.665,nan,nan,221.085,nan
nan,nan,10.5825,114.2075,nan,53.2525,nan,nan
nan,nan,nan,113.2,14.5,57.17,nan,nan
nan,25.655,nan,116.46,nan,55.25,206.3325,nan
41.58,nan,12.1675,nan,nan,55.915,nan,24.925
28.7525,22.71,14.5825,nan,11.0,nan,142.4175,nan
nan,nan,nan,nan,nan,nan,nan,26.5925
nan,nan,nan,107.675,nan,nan,nan,nan
44.2625,nan,nan,nan,12.6675,42.2525,159.0,nan
nan,24.4325,11.835,129.28,14.125,nan,227.855,nan
nan,23.32,12.3775,nan,10.5825,43.165,166.6675,nan
34.2425,nan,12.4675,nan,14.675,nan,216.36,nan
nan,nan,11.1,99.145,12.0475,nan,185.1925,24.435
nan,nan,12.335,117.9875,12.75,nan,165.665,24.825
nan,nan,15.165,105.515,nan,59.9575,201.9175,25.375
nan,23.7025,11.5,121.6875,nan,nan,nan,nan
nan,nan,12.1675,nan,12.4975,nan,177.085,25.32
nan,nan,nan,nan,nan,44.8325,nan,nan
nan,nan,12.3325,102.54,nan,52.915,nan,nan
33.3275,21.4675,nan,108.6425,12.665,54.335,194.0,nan
nan,24.2275,nan,161.21,13.7475,nan,219.9175,nan
19.3725,nan,12.2925,109.48,12.6675,41.9175,110.875,21.73
nan,22.3625,9.75,160.5425,12.5,nan,187.6675,25.15
37.8275,nan,nan,142.0675,13.25,nan,nan,nan
nan,21.12,nan,115.5075,nan,46.8325,167.3325,23.575
nan,nan,nan,nan,11.1675,nan,nan,nan
nan,23.34,nan,163.1675,nan,60.0825,nan,27.2325
38.5175,20.115,13.8325,nan,nan,55.8325,nan,nan
nan,19.69,nan,92.265,nan,49.835,nan,22.35
nan,20.905,9.835,107.835,12.665,59.165,nan,25.175
37.315,nan,nan,nan,nan,56.335,nan,26.0275
nan,nan,15.9175,nan,12.6675,nan,229.3325,nan
46.85,nan,13.3625,nan,nan,nan,196.4175,26.1325
38.13,nan,nan,111.81,nan,nan,245.75,nan
42.9375,20.7125,nan,118.6,nan,61.835,239.335,24.4325
nan,nan,13.2475,nan,nan,nan,230.3325,nan
nan,24.4475,nan,nan,12.2475,62.0825,nan,nan
37.9025,nan,12.4975,111.3175,nan,58.9175,nan,24.4675
32.8625,nan,nan,nan,nan,57.5,nan,nan
44.495,27.21,9.2525,nan,11.1675,56.7525,209.7525,nan
nan,22.2075,nan,nan,11.5,nan,184.75,nan
24.81,23.27,13.4175,nan,12.1675,47.5,nan,nan
34.8575,nan,nan,113.535,11.75,49.3325,nan,24.4
38.3625,25.845,10.6675,125.275,nan,nan,nan,27.8975
nan,22.715,12.0,163.19,12.5825,nan,183.1675,23.935
nan,23.325,nan,165.875,nan,54.17,nan,25.0425
34.8075,23.85,10.1675,nan,nan,nan,202.0825,24.085
nan,23.1225,nan,120.25,13.1675,54.5,208.75,24.39
43.2125,21.035,nan,nan,10.835,nan,nan,21.535
18.67,23.405,8.83,124.5,nan,nan,171.835,nan
nan,nan,nan,107.685,nan,50.5825,nan,nan
31.0375,nan,11.895,98.925,11.2325,nan,nan,nan
41.465,nan,nan,163.175,nan,51.915,nan,nan
nan,24.2725,nan,122.285,nan,nan,191.0825,22.26
nan,24.1925,13.0,nan,nan,nan,193.25,25.8
nan,nan,15.0,nan,nan,nan,nan,24.5175
42.735,nan,nan,121.01,13.4175,nan,208.2475,nan
51.375,nan,nan,113.5175,12.9175,nan,213.085,24.4525
37.82,22.6925,11.3325,nan,nan,54.5825,nan,nan
nan,23.8175,nan,110.95,12.5,48.3325,nan,24.29
40.94,24.855,nan,nan,11.9175,50.7525,199.915,24.9675
22.65,17.9475,8.1675,96.315,10.5,nan,172.5,21.5675
42.5675,23.635,nan,120.85,10.3325,46.3325,178.8325,26.47
nan,25.58,11.8325,nan,nan,54.9975,nan,nan
nan,nan,nan,nan,12.3325,nan,210.0825,nan
nan,nan,7.335,nan,nan,nan,nan,29.185
nan,23.0875,10.9175,nan,nan,48.375,155.3325,nan
46.65,nan,13.165,nan,nan,49.5,207.2525,nan
22.4,nan,nan,117.365,13.2525,50.7525,nan,26.4825
nan,nan,9.75,nan,12.8325,59.4975,nan,28.35
35.395,22.06,nan,113.135,nan,nan,153.915,nan
18.49,nan,11.085,168.7,13.6675,49.6675,nan,nan
nan,nan,12.0,nan,12.335,45.915,166.4175,23.7925
48.04,nan,14.5825,152.46,11.3325,46.0,nan,24.89
52.2575,nan,13.585,nan,nan,nan,nan,nan
43.6275,nan,12.98,nan,nan,nan,196.12,nan
nan,25.9725,nan,122.91,nan,53.8325,nan,23.425
43.9025,26.2625,nan,nan,11.335,nan,172.0,nan
nan,nan,nan,nan,nan,60.48,nan,nan
nan,23.5925,13.415,nan,11.415,48.5,181.165,25.795
46.3775,23.4775,11.0,nan,nan,nan,nan,24.5675
43.6825,nan,nan,119.14,nan,55.5825,nan,24.16
nan,nan,11.08,113.925,nan,nan,140.1675,24.74
nan,25.01,13.875,144.05,11.0,44.3325,122.3325,23.7725
nan,23.78,nan,nan,nan,59.9175,nan,26.4825
nan,24.7175,11.085,148.705,nan,nan,165.365,nan
nan,nan,nan,125.9,15.25,56.7525,nan,nan
38.625,nan,nan,129.5075,nan,nan,202.585,25.7825
59.5725,nan,nan,nan,12.875,nan,255.5825,28.0325
53.65,nan,nan,nan,nan,58.0,250.665,23.8325
nan,27.96,9.585,124.9075,nan,nan,234.25,nan
nan,nan,nan,109.35,nan,61.8325,259.415,24.7925
nan,22.315,nan,nan,14.0825,85.8325,387.085,nan
56.095,nan,15.8325,nan,13.1675,59.5,219.335,nan
36.555,24.17,nan,129.3075,13.4175,nan,nan,24.835
nan,nan,10.1675,121.3925,13.9175,64.6675,nan,26.1925
nan,nan,12.1675,111.6075,12.5,nan,nan,25.1
46.375,23.925,10.5,nan,15.165,62.08,nan,nan
39.105,nan,9.2525,nan,nan,nan,226.415,26.1325
nan,22.49,13.415,170.0,12.415,47.165,nan,nan
34.9175,25.0575,nan,133.1825,12.5,nan,nan,nan
nan,nan,nan,nan,nan,68.0825,228.25,26.6175
48.1825,21.7775,15.0,nan,nan,55.335,201.835,nan
41.7425,nan,10.8325,nan,12.75,50.5,212.4975,26.6
55.775,nan,14.085,109.125,11.085,50.3325,nan,nan
30.9475,27.6025,8.0,nan,11.5825,nan,nan,26.1425
43.4325,nan,10.25,107.6925,nan,nan,203.4975,25.185
nan,nan,nan,nan,nan,47.1675,179.415,nan
nan,22.975,8.915,nan,nan,nan,225.5,nan
39.265,26.355,nan,nan,11.75,51.1675,nan,nan
40.23,26.68,nan,nan,12.165,nan,nan,25.9075
